Sample_ID,QPCR_Sample_ID,Collect_Site,Frog_ID,Sample_Status,Extract_Plate_ID,Extract_Date,Extract_Lab,Extract_Tech,Extract_Loc,Extract_Well_Pos,Extract_Neg_Cont,Extract_BdPosCont,QPCR_Plate_ID,QPCR_Date,QPCR_File_Name,QPCR_Lab,QPCR_Tech,QPCR_Well_Pos,QPCR_Diluted,QPCR_NegCont,Sample_Quality,Sample_IPC,Sample_Rerun,Sample_Bd,Sample_Bd_CT,Sample_Bd_qty,Sample_Bd_swab_qty,Sample_Bsal,Sample_Bsal_CT,Sample_Bsal_qty,Sample_Bsal_swab_qty,Notes
180317-24-LA02-LICA,180317 LA02-24,LA,180317-24,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,G4,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,G4,no,negative,pass,pass,no,positive,29.72203064,416.4622498,16658.48999,negative,,,,
180317-25-LA02-LICA,180317 LA02-25,LA,180317-25,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,G5,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,G5,no,negative,pass,pass,no,positive,32.31366348,65.10951996,2604.380798,negative,,,,
180317-26-LA02-LICA,180317 LA02-26,LA,180317-26,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,G6,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,G6,no,negative,pass,pass,no,positive,30.67477417,210.5217133,8420.86853,negative,,,,
180317-27-LA02-LICA,180317 LA02-27,LA,180317-27,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,G7,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,G7,no,negative,pass,pass,no,positive,35.89080048,5.02628231,201.0512924,negative,,,,
180317-28-LA02-LICA,180317 LA02-28,LA,180317-28,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,G8,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,G8,no,negative,pass,pass,no,positive,32.46088791,58.59511948,2343.804779,negative,,,,
180317-29-LA02-LICA,180317 LA02-29,LA,180317-29,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,G9,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,G9,no,negative,pass,pass,no,positive,26.4795723,4245.186523,169807.4609,negative,,,,
180317-30-LA02-LICA,180317 LA02-30,LA,180317-30,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,G10,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,G10,no,negative,pass,pass,no,positive,36.00141907,4.643519878,185.7407951,negative,,,,
180317-31-LA02-LICA,180317 LA02-31,LA,180317-31,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,G11,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,G11,no,negative,pass,pass,no,positive,26.03119087,5852.371582,234094.8633,negative,,,,
180317-32-LA02-LICA,180317 LA02-32,LA,180317-32,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,G12,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,G12,no,negative,pass,pass,no,positive,30.33836746,267.8617554,10714.47021,negative,,,,
180317-33-LA02-LICA,180317 LA02-33,LA,180317-33,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,H1,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,H1,no,negative,pass,pass,no,positive,31.51828766,115.0763016,4603.052063,negative,,,,
180317-34-LA02-LICA,180317 LA02-34,LA,180317-34,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,H2,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,H2,no,negative,pass,pass,no,positive,30.1305027,310.8503113,12434.01245,negative,,,,
180317-35-LA02-LICL,180317 LA02-35,LA,180317-35,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,H3,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,H3,no,negative,pass,pass,no,positive,36.50281906,3.242834806,129.7133923,negative,,,,
180318-01-LA03-PSCR,180318 LA03-01,LA,180318-01,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,H4,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,H4,no,negative,pass,pass,no,positive,26.7593708,3474.45459,138978.1836,negative,,,,
180318-02-LA03-LICL,180318 LA03-02,LA,180318-02,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,H5,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,H5,no,negative,pass,pass,no,negative,,,,negative,,,,
180318-03-LA03-LICL,180318 LA03-03,LA,180318-03,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,H6,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,H6,no,negative,pass,pass,no,positive,35.64820862,5.979800224,239.192009,negative,,,,
180318-04-LA03-ANFO,180318 LA03-04,LA,180318-04,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,H7,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,H7,no,negative,pass,pass,no,negative,,,,negative,,,,
180318-05-LA03-ANFO,180318 LA03-05,LA,180318-05,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,H8,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,H8,no,negative,pass,pass,no,negative,,,,negative,,,,
180318-06-LA03-ANFO,180318 LA03-06,LA,180318-06,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,H9,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,H9,no,negative,pass,pass,no,negative,,,,negative,,,,
180318-07-LA03-ANFO,180318 LA03-07,LA,180318-07,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,H10,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,H10,no,negative,pass,pass,no,negative,,,,negative,,,,
180318-08-LA03-ANFO,180318 LA03-08,LA,180318-08,Complete,DPW_062518_SERDP_63,6/25/18,RZ lab,DPW,Pitt -80,H11,negative,positive,SERDP_75_072718,7/27/18,SERDP_75_072718_02,RZ lab,DPW,H11,no,negative,pass,pass,no,negative,,,,negative,,,,
180318-09-LA03-ANFO,180318 LA03-09,LA,180318-09,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,A1,negative,positive,SERDP_81_073018,7/30/18,SERDP_81_073018,RZ lab,DPW,G1,no,negative,pass,pass,no,negative,,,,negative,,,,
180318-10-LA03-ANFO,180318 LA03-10,LA,180318-10,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,A2,negative,positive,SERDP_81_073018,7/30/18,SERDP_81_073018,RZ lab,DPW,G2,no,negative,pass,pass,no,positive,37.04433441,3.128760576,125.150423,negative,,,,
180318-11-LA03-ANFO,180318 LA03-11,LA,180318-11,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,A3,negative,positive,SERDP_81_073018,7/30/18,SERDP_81_073018,RZ lab,DPW,G3,no,negative,pass,pass,no,negative,,,,negative,,,,
180318-12-LA03-ANFO,180318 LA03-12,LA,180318-12,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,A4,negative,positive,SERDP_81_073018,7/30/18,SERDP_81_073018,RZ lab,DPW,G4,no,negative,pass,pass,no,negative,,,,negative,,,,
180318-13-LA03-HYCI,180318 LA03-13,LA,180318-13,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,A5,negative,positive,SERDP_81_073018,7/30/18,SERDP_81_073018,RZ lab,DPW,G5,no,negative,pass,pass,no,negative,,,,negative,,,,
180318-14-LA03-LISP,180318 LA03-14,LA,180318-14,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,A6,negative,positive,SERDP_81_073018,7/30/18,SERDP_81_073018,RZ lab,DPW,G6,no,negative,pass,pass,no,positive,32.53661728,78.01197052,3120.478821,negative,,,,
180318-15-LA03-LISP,180318 LA03-15,LA,180318-15,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,A7,negative,positive,SERDP_81_073018,7/30/18,SERDP_81_073018,RZ lab,DPW,G7,no,negative,pass,pass,no,positive,37.02986908,3.161219358,126.4487743,negative,,,,
180318-16-LA03-LISP,180318 LA03-16,LA,180318-16,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,A8,negative,positive,SERDP_81_073018,7/30/18,SERDP_81_073018,RZ lab,DPW,G8,no,negative,pass,pass,no,positive,38.66103363,0.987215579,39.48862314,negative,,,,
180322-01-LA02-ACBL,180322 LA02-01,LA,180322-01,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,A9,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,A9,no,negative,pass,pass,no,negative,,,,negative,,,,
180322-02-LA02-ACBL,180322 LA02-02,LA,180322-02,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,A10,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,A10,no,negative,pass,pass,no,positive,37.74731064,2.761109829,110.4443932,negative,,,,
180322-03-LA02-ACBL,180322 LA02-03,LA,180322-03,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,A11,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,A11,no,negative,pass,pass,no,positive,28.34850693,1886.031982,75441.2793,negative,,,,
180322-04-LA02-ACBL,180322 LA02-04,LA,180322-04,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,A12,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,A12,no,negative,pass,pass,no,negative,,,,negative,,,,
180322-05-LA02-ACBL,180322 LA02-05,LA,180322-05,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,B1,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,B1,no,negative,pass,pass,no,positive,22.65366554,98397.40625,3935896.25,negative,,,,
180322-06-LA02-ACBL,180322 LA02-06,LA,180322-06,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,B2,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,B2,no,negative,pass,pass,no,positive,30.98679543,301.9265137,12077.06055,negative,,,,
180322-07-LA02-ACBL,180322 LA02-07,LA,180322-07,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,B3,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,B3,no,negative,pass,pass,no,positive,24.1071167,35863.76172,1434550.469,negative,,,,
180322-08-LA02-ACBL,180322 LA02-08,LA,180322-08,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,B4,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,B4,no,negative,pass,pass,no,positive,28.20694923,2080.844482,83233.7793,negative,,,,
180322-09-LA02-ACBL,180322 LA02-09,LA,180322-09,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,B5,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,B5,no,negative,pass,pass,no,negative,,,,negative,,,,
180322-10-LA02-ACBL,180322 LA02-10,LA,180322-10,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,B6,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,B6,no,negative,pass,pass,no,positive,37.52589798,3.220006227,128.8002491,negative,,,,
180322-11-LA02-ACBL,180322 LA02-11,LA,180322-11,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,B7,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,B7,no,negative,pass,pass,no,positive,29.64157867,768.4011841,30736.04736,negative,,,,
180322-12-LA02-ACBL,180322 LA02-12,LA,180322-12,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,B8,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,B8,no,negative,pass,pass,no,positive,34.98672485,18.77645302,751.0581207,negative,,,,
180322-13-LA02-ACBL,180322 LA02-13,LA,180322-13,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,B9,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,B9,no,negative,pass,pass,no,positive,38.80795288,1.321959376,52.87837505,negative,,,,
180322-14-LA02-ACBL,180322 LA02-14,LA,180322-14,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,B10,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,B10,no,negative,pass,pass,no,positive,33.50982666,52.36154175,2094.46167,negative,,,,
180322-15-LA02-ACBL,180322 LA02-15,LA,180322-15,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,B11,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,B11,no,negative,pass,pass,no,positive,32.09251022,140.1015167,5604.060669,negative,,,,
180322-16-LA02-ACBL,180322 LA02-16,LA,180322-16,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,B12,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,B12,no,negative,pass,pass,no,negative,,,,negative,,,,
180322-17-LA02-ACBL,180322 LA02-17,LA,180322-17,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,C1,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,C1,no,negative,pass,pass,no,positive,31.5904541,198.5416107,7941.664429,negative,,,,
180322-18-LA02-ACBL,180322 LA02-18,LA,180322-18,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,C2,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,C2,no,negative,pass,pass,no,positive,28.62098122,1560.90686,62436.27441,negative,,,,
180325-01-LA05-LISP,180325 LA05-01,LA,180325-01,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,C4,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,C4,no,negative,pass,pass,no,negative,,,,negative,,,,
180325-02-LA05-LISP,180325 LA05-02,LA,180325-02,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,C5,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,C5,no,negative,pass,pass,no,positive,29.11071968,1110.920654,44436.82617,negative,,,,
180325-03-LA05-LISP,180325 LA05-03,LA,180325-03,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,C6,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,C6,no,negative,pass,pass,no,positive,31.62712097,193.5502014,7742.008057,negative,,,,
180325-04-LA05-LISP,180325 LA05-04,LA,180325-04,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,C7,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,C7,no,negative,pass,pass,no,negative,,,,negative,,,,
180325-05-LA05-LISP,180325 LA05-05,LA,180325-05,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,C8,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,C8,no,negative,pass,pass,no,negative,,,,negative,,,,
180325-06-LA05-ACBL,180325 LA05-06,LA,180325-06,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,C9,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,C9,no,negative,pass,pass,no,positive,27.04141426,4674.535645,186981.4258,negative,,,,
180325-07-LA05-ACBL,180325 LA05-07,LA,180325-07,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,C10,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,C10,no,negative,pass,pass,no,negative,,,,negative,,,,
180325-08-LA05-LICL,180325 LA05-08,LA,180325-08,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,C11,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,C11,no,negative,pass,pass,no,positive,35.69626999,11.47178173,458.8712692,negative,,,,
180325-09-LA05-LISP,180325 LA05-09,LA,180325-09,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,C12,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,C12,no,negative,pass,pass,no,positive,34.68983459,23.07538223,923.0152893,negative,,,,
180325-10-LA05-LICL,180325 LA05-10,LA,180325-10,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,D1,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,D1,no,negative,pass,pass,no,positive,37.71218109,2.829293251,113.17173,negative,,,,
180325-11-LA05-LICL,180325 LA05-11,LA,180325-11,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,D2,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,D2,no,negative,pass,pass,no,positive,37.74485779,2.765816689,110.6326675,negative,,,,
180325-12-LA05-LICL,180325 LA05-12,LA,180325-12,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,D3,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,D3,no,negative,pass,pass,no,positive,33.91839981,39.42721176,1577.08847,negative,,,,
180325-13-LA05-LICL,180325 LA05-13,LA,180325-13,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,D4,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,D4,no,negative,pass,pass,no,positive,39.79528427,0.665980339,26.63921356,negative,,,,
180325-14-LA05-LICL,180325 LA05-14,LA,180325-14,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,D5,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,D5,no,negative,pass,pass,no,positive,33.66450882,47.02878952,1881.151581,negative,,,,
180325-15-LA05-LICL,180325 LA05-15,LA,180325-15,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,D6,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,D6,no,negative,pass,pass,no,positive,36.55636978,6.31312418,252.5249672,negative,,,,
180325-16-LA05-LICL,180325 LA05-16,LA,180325-16,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,D7,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,D7,no,negative,pass,pass,no,positive,31.97089386,152.4472351,6097.889404,negative,,,,
180325-17-LA05-LICL,180325 LA05-17,LA,180325-17,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,D8,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,D8,no,negative,pass,pass,no,negative,,,,negative,,,,
180325-18-LA05-LICL,180325 LA05-18,LA,180325-18,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,D9,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,D9,no,negative,pass,pass,no,negative,,,,negative,,,,
180325-19-LA05-LICL,180325 LA05-19,LA,180325-19,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,D10,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,D10,no,negative,pass,pass,no,negative,,,,negative,,,,
180325-20-LA05-LICL,180325 LA05-20,LA,180325-20,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,D11,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,D11,no,negative,pass,pass,no,positive,29.60446548,788.4615479,31538.46191,negative,,,,
180325-21-LA05-LICL,180325 LA05-21,LA,180325-21,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,D12,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,D12,no,negative,pass,pass,no,negative,,,,negative,,,,
180325-22-LA05-LICL,180325 LA05-22,LA,180325-22,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,E1,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,E1,no,negative,pass,pass,no,negative,,,,negative,,,,
180325-23-LA05-LICL,180325 LA05-23,LA,180325-23,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,E2,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,E2,no,negative,pass,pass,no,negative,,,,negative,,,,
180325-24-LA05-LICL,180325 LA05-24,LA,180325-24,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,E3,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,E3,no,negative,pass,pass,no,positive,39.03168488,1.131737351,45.26949406,negative,,,,
180325-25-LA05-LICL,180325 LA05-25,LA,180325-25,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,E4,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,E4,no,negative,pass,pass,no,negative,,,,negative,,,,
180325-26-LA05-LICA,180325 LA05-26,LA,180325-26,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,E5,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,E5,no,negative,pass,pass,no,positive,34.38249969,28.564991,1142.59964,negative,,,,
180325-27-LA05-LICA,180325 LA05-27,LA,180325-27,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,E6,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,E6,no,negative,pass,pass,no,positive,36.59414291,6.149684429,245.9873772,negative,,,,
180325-28-LA05-HYCH,180325 LA05-28,LA,180325-28,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,E7,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,E7,no,negative,pass,pass,no,negative,,,,negative,,,,
180325-29-LA05-ANFO,180325 LA05-29,LA,180325-29,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,E8,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,E8,no,negative,pass,pass,no,negative,,,,negative,,,,
180325-30-LA05-ANFO,180325 LA05-30,LA,180325-30,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,E9,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,E9,no,negative,pass,pass,no,negative,,,,negative,,,,
180325-31-LA05-ANFO,180325 LA05-31,LA,180325-31,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,E10,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,E10,no,negative,pass,pass,no,negative,,,,negative,,,,
180325-32-LA05-ANFO,180325 LA05-32,LA,180325-32,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,E11,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,E11,no,negative,pass,pass,no,negative,,,,negative,,,,
180325-33-LA05-ANFO,180325 LA05-33,LA,180325-33,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,E12,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,E12,no,negative,pass,pass,no,positive,36.93078232,4.867769718,194.7107887,negative,,,,
180325-34-LA05-ANFO,180325 LA05-34,LA,180325-34,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,F1,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,F1,no,negative,pass,pass,no,negative,,,,negative,,,,
180326-01-LA04-ACBL,180326 LA04-01,LA,180326-01,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,F2,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,F2,no,negative,pass,pass,no,negative,,,,negative,,,,
180326-02-LA04-ACBL,180326 LA04-02,LA,180326-02,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,F3,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,F3,no,negative,pass,pass,no,positive,31.08041573,282.9225159,11316.90063,negative,,,,
180326-03-LA04-ACBL,180326 LA04-03,LA,180326-03,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,F4,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,F4,no,negative,pass,pass,no,negative,,,,negative,,,,
180326-04-LA04-ACBL,180326 LA04-04,LA,180326-04,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,F5,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,F5,no,negative,pass,pass,no,negative,,,,negative,,,,
180326-05-LA04-ACBL,180326 LA04-05,LA,180326-05,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,F6,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,F6,no,negative,pass,pass,no,negative,,,,negative,,,,
180326-06-LA04-LICL,180326 LA04-06,LA,180326-06,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,F7,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,F7,no,negative,pass,pass,no,negative,,,,negative,,,,
180326-07-LA04-LICL,180326 LA04-07,LA,180326-07,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,F8,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,F8,no,negative,pass,pass,no,positive,32.19874573,130.1381531,5205.526123,negative,,,,
180326-08-LA04-LICL,180326 LA04-08,LA,180326-08,Complete,DPW_062518_SERDP_64,6/25/18,RZ lab,DPW,Pitt -80,F9,negative,positive,SERDP_76_072718,7/27/18,SERDP_76_072718,RZ lab,DPW,F9,no,negative,pass,pass,no,negative,,,,negative,,,,
